ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
232;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;1;1095930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;1;391705;0;87;0;60;0;0;20;0;0;0;0;4;0;0;0;0;0;0;0;0;2
235;1;968791;406;0;344;61;0;72;13;0;28;0;4;6;0;0;1;0;1;1;0;0;4
236;1;325183;94;118;0;10;46;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;3
237;1;351553;275;167;7;14;1;0;0;2;0;0;0;0;0;1;1;0;1;1;1;0;2
238;1;291873;0;61;0;267;0;0;13;0;2;0;0;9;0;6;0;0;13;0;0;0;4
239;1;365199;32;0;59;0;14;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2
240;1;424525;295;171;29;22;0;11;6;12;13;0;0;0;0;0;2;0;0;0;1;0;1
241;1;311788;0;306;0;48;0;0;20;0;0;0;0;0;0;10;0;0;0;0;0;0;2
242;1;358566;37;45;0;3;8;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;2
243;1;371587;207;106;13;22;1;2;2;6;3;0;1;0;0;0;0;0;0;0;0;0;2
244;1;418029;152;122;49;6;3;18;15;2;14;0;0;0;4;9;0;20;1;0;0;0;2
245;1;497730;113;218;0;7;3;0;69;0;0;0;2;0;0;6;0;0;0;0;0;0;2
246;1;464588;143;109;0;7;19;0;62;0;0;1;2;0;1;6;0;0;0;0;0;0;2
247;1;271336;756;296;90;61;37;30;11;13;2;0;0;0;0;0;0;2;1;1;8;4;2
248;1;318410;201;174;0;10;5;6;0;0;2;0;0;0;6;0;0;0;0;0;1;0;1
249;1;265579;0;0;0;68;0;0;0;16;0;0;0;0;4;0;0;0;0;0;0;0;13
250;1;1109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;1;405142;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
252;1;364831;318;75;43;8;8;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2
253;1;377999;308;0;210;0;31;0;22;0;19;0;3;0;0;0;0;0;0;0;0;0;2
254;1;497566;172;260;0;31;27;0;78;2;0;3;2;0;1;6;0;0;0;0;0;0;2
255;1;1100626;1033;429;291;33;20;31;25;0;13;1;0;52;1;14;1;0;0;0;0;0;2
256;1;345228;75;0;49;19;0;6;0;0;0;0;1;2;0;0;0;0;0;0;0;0;4
257;1;456015;1556;348;0;100;38;32;0;4;13;0;82;33;1;0;2;8;56;0;0;9;1
258;1;351574;0;177;0;0;223;0;0;11;0;0;14;0;9;0;0;16;0;0;1;0;1
259;1;371014;502;0;265;59;0;77;19;0;3;0;3;5;0;0;0;0;1;0;0;0;4
260;1;252178;79;117;6;4;0;0;2;0;0;0;3;2;1;0;1;0;2;0;0;0;1
261;1;489675;918;593;0;98;111;39;0;5;18;0;1;15;1;0;0;2;20;0;1;9;2
262;1;391030;596;119;61;8;34;1;1;13;2;0;4;4;1;0;1;0;2;0;0;0;1
263;1;259038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
264;1;371952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
265;1;411804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
266;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
267;1;371952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
268;1;604250;17;0;49;0;97;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;2
269;1;437423;0;684;0;153;0;36;0;4;0;51;0;4;0;0;0;13;0;0;0;0;4
270;1;497494;251;293;0;13;18;0;69;0;0;1;2;0;1;6;0;0;0;0;0;0;2
271;1;284197;0;0;74;0;0;39;0;0;20;0;0;2;0;0;0;0;0;2;0;0;1
272;1;371520;0;166;0;0;222;0;0;12;0;0;6;0;9;0;0;15;0;0;1;0;1
273;1;610582;352;59;48;13;1;0;0;0;0;2;0;0;1;1;0;0;1;1;0;0;3
274;1;1079248;1378;1049;420;313;64;32;22;12;21;0;4;0;13;2;0;0;52;1;9;5;1
275;1;504101;259;314;0;14;23;0;69;0;0;1;2;0;1;6;0;0;0;0;0;0;2
276;1;1085960;1302;1038;456;248;74;31;22;15;27;4;0;13;1;0;11;57;5;9;11;3;1
